Service Type,Origin,Destination,Vehicle Type,Max Passengers,Max Luggage,Price EUR,Notes
Transfer,Milano,Linate,Berlina,3,3 (max 1 grande),110.00,
Transfer,Milano,Linate,Monovolume,6,6 (max 4 grandi),120.00,
Transfer,Milano,Linate,Minibus,8,8 grandi,160.00,
Transfer,Linate,Milano,Berlina,3,3 (max 1 grande),120.00,Compresi 45 min attesa volo/bagagli
Transfer,Linate,Milano,Monovolume,6,6 (max 4 grandi),130.00,Compresi 45 min attesa volo/bagagli
Transfer,Linate,Milano,Minibus,8,8 grandi,180.00,Compresi 45 min attesa volo/bagagli
Transfer,Milano,Linate Prime,Berlina,3,3 (max 1 grande),130.00,
Transfer,Milano,Linate Prime,Monovolume,6,6 (max 4 grandi),140.00,
Transfer,Milano,Linate Prime,Minibus,8,8 grandi,180.00,
Transfer,Linate Prime,Milano,Berlina,3,3 (max 1 grande),140.00,Compresi 45 min attesa volo/bagagli
Transfer,Linate Prime,Milano,Monovolume,6,6 (max 4 grandi),150.00,Compresi 45 min attesa volo/bagagli
Transfer,Linate Prime,Milano,Minibus,8,8 grandi,200.00,Compresi 45 min attesa volo/bagagli
Transfer,Milano,Malpensa,Berlina,3,3 (max 1 grande),190.00,
Transfer,Milano,Malpensa,Monovolume,6,6 (max 4 grandi),220.00,
Transfer,Milano,Malpensa,Minibus,8,8 grandi,250.00,
Transfer,Malpensa,Milano,Berlina,3,3 (max 1 grande),210.00,Compresi 45 min attesa volo/bagagli
Transfer,Malpensa,Milano,Monovolume,6,6 (max 4 grandi),240.00,Compresi 45 min attesa volo/bagagli
Transfer,Malpensa,Milano,Minibus,8,8 grandi,270.00,Compresi 45 min attesa volo/bagagli
Transfer,Milano,Orio al Serio,Berlina,3,3 (max 1 grande),210.00,
Transfer,Milano,Orio al Serio,Monovolume,6,6 (max 4 grandi),240.00,
Transfer,Milano,Orio al Serio,Minibus,8,8 grandi,270.00,
Transfer,Orio al Serio,Milano,Berlina,3,3 (max 1 grande),230.00,Compresi 45 min attesa volo/bagagli
Transfer,Orio al Serio,Milano,Monovolume,6,6 (max 4 grandi),260.00,Compresi 45 min attesa volo/bagagli
Transfer,Orio al Serio,Milano,Minibus,8,8 grandi,290.00,Compresi 45 min attesa volo/bagagli
Disposizione,Milano,GP Monza,Berlina,3,3 (max 1 grande),990.00,Al giorno - include 10 ore + 100 km
Disposizione,Milano,GP Monza,Monovolume,6,6 (max 4 grandi),1190.00,Al giorno - include 10 ore + 100 km
Disposizione,Milano,GP Monza,Minibus,8,8 grandi,1490.00,Al giorno - include 10 ore + 100 km
Extra Hour,,,Berlina,,,100.00,Costo orario
Extra Hour,,,Monovolume,,,120.00,Costo orario
Extra Hour,,,Minibus,,,150.00,Costo orario
Extra KM,,,Berlina,,,1.50,Costo chilometrico
Extra KM,,,Monovolume,,,1.70,Costo chilometrico
Extra KM,,,Minibus,,,2.00,Costo chilometrico 
