Service Type,Airport,Direction,Service Description,Price EUR,Notes
Meet & Greet,Milano Malpensa,Arrivals,Greeter + Porter + 2 luggages for 1 passenger,350.00,Can meet after passport control for extra-schengen
Meet & Greet,Milano Malpensa,Arrivals,Each extra passenger,90.00,
Meet & Greet,Milano Malpensa,Arrivals,Children up to 12 years,45.00,50% adult rate
Meet & Greet,Milano Malpensa,Arrivals,Infants 0-2,0.00,FREE
Meet & Greet,Milano Malpensa,Arrivals,Each extra luggage,20.00,
Meet & Greet,Milano Malpensa,Arrivals,Night surcharge porter (20:00-08:00),90.00,Max 10 pieces per operator
Meet & Greet,Milano Malpensa,Arrivals,Tarmac service (van max 6 pax),350.00,If booked but not used = 100% penalty
Meet & Greet,Milano Malpensa,Arrivals,Each extra hour after 3 hours included,90.00,
Meet & Greet,Milano Linate,Arrivals,Greeter + Porter + 2 luggages for 1 passenger,350.00,Can meet after passport control for extra-schengen
Meet & Greet,Milano Linate,Arrivals,Each extra passenger,90.00,
Meet & Greet,Milano Linate,Arrivals,Children up to 12 years,45.00,50% adult rate
Meet & Greet,Milano Linate,Arrivals,Infants 0-2,0.00,FREE
Meet & Greet,Milano Linate,Arrivals,Each extra luggage,20.00,
Meet & Greet,Milano Linate,Arrivals,Night surcharge porter (20:00-08:00),90.00,Max 10 pieces per operator
Meet & Greet,Milano Linate,Arrivals,Tarmac service (van max 6 pax),350.00,If booked but not used = 100% penalty
Meet & Greet,Milano Linate,Arrivals,Each extra hour after 3 hours included,90.00,
Meet & Greet,Venezia Marco Polo,Arrivals,Greeter + Porter + 2 luggages for 1 passenger,390.00,
Meet & Greet,Venezia Marco Polo,Arrivals,Each extra passenger,105.00,
Meet & Greet,Venezia Marco Polo,Arrivals,Children up to 12 years,52.50,50% adult rate
Meet & Greet,Venezia Marco Polo,Arrivals,Infants 0-2,0.00,FREE
Meet & Greet,Venezia Marco Polo,Arrivals,Each extra luggage,25.00,
Meet & Greet,Venezia Marco Polo,Arrivals,Night surcharge porter (20:00-08:00),90.00,Max 10 pieces per operator
Meet & Greet,Venezia Marco Polo,Arrivals,Each extra hour after 3 hours included,90.00,
Meet & Greet,Milano Malpensa,Departures,Greeter + Porter + 2 luggages for 1 passenger,370.00,
Meet & Greet,Milano Malpensa,Departures,Each extra passenger,90.00,
Meet & Greet,Milano Malpensa,Departures,Children up to 12 years,45.00,50% adult rate
Meet & Greet,Milano Malpensa,Departures,Infants 0-2,0.00,FREE
Meet & Greet,Milano Malpensa,Departures,Each extra luggage,20.00,
Meet & Greet,Milano Malpensa,Departures,Night surcharge porter (20:00-08:00),90.00,Max 10 pieces per operator
Meet & Greet,Milano Malpensa,Departures,Each extra hour after 3 hours included,90.00,
Meet & Greet,Milano Malpensa,Departures,Fast track,30.00,
Meet & Greet,Milano Malpensa,Departures,VIP lounge,100.00,
Meet & Greet,Milano Linate,Departures,Greeter + Porter + 2 luggages for 1 passenger,370.00,
Meet & Greet,Milano Linate,Departures,Each extra passenger,90.00,
Meet & Greet,Milano Linate,Departures,Children up to 12 years,45.00,50% adult rate
Meet & Greet,Milano Linate,Departures,Infants 0-2,0.00,FREE
Meet & Greet,Milano Linate,Departures,Each extra luggage,20.00,
Meet & Greet,Milano Linate,Departures,Night surcharge porter (20:00-08:00),90.00,Max 10 pieces per operator
Meet & Greet,Milano Linate,Departures,Each extra hour after 3 hours included,90.00,
Meet & Greet,Milano Linate,Departures,Fast track,30.00,
Meet & Greet,Milano Linate,Departures,VIP lounge,100.00,
Meet & Greet,Venezia Marco Polo,Departures,Greeter + Porter + 2 luggages for 1 passenger,410.00,
Meet & Greet,Venezia Marco Polo,Departures,Each extra passenger,105.00,
Meet & Greet,Venezia Marco Polo,Departures,Children up to 12 years,52.50,50% adult rate
Meet & Greet,Venezia Marco Polo,Departures,Infants 0-2,0.00,FREE
Meet & Greet,Venezia Marco Polo,Departures,Each extra luggage,25.00,
Meet & Greet,Venezia Marco Polo,Departures,Night surcharge porter (20:00-08:00),90.00,Max 10 pieces per operator
Meet & Greet,Venezia Marco Polo,Departures,Each extra hour after 3 hours included,90.00,
Meet & Greet,Venezia Marco Polo,Departures,Fast track + VIP lounge,130.00,Mandatory to buy together at Venice 
