Service Type,Origin,Destination,Olympic Sedan EUR,Olympic Mini Van EUR,Extra Hour Sedan EUR,Extra Hour Mini Van EUR,Notes
Inter-cluster Transfer,Milano Center,Bormio Center,920.00,1170.00,94.00,108.00,
Inter-cluster Transfer,Milano Center,Livigno Center,1070.00,1230.00,94.00,108.00,
Inter-cluster Transfer,Milano Center,Tirano,870.00,1100.00,94.00,108.00,
Inter-cluster Transfer,Milano Center,Cortina Center,1380.00,1620.00,94.00,108.00,
Inter-cluster Transfer,Milano Center,Anterselva,1380.00,1620.00,94.00,108.00,
Inter-cluster Transfer,Milano Center,Val di Fiemme,1290.00,1520.00,94.00,108.00,
Inter-cluster Transfer,Milano Center,Verona Center,620.00,730.00,94.00,108.00,
Inter-cluster Transfer,Milano Center,Venezia,1020.00,1200.00,94.00,108.00,
Inter-cluster Transfer,Cortina Center,Anterselva,460.00,530.00,94.00,108.00,
Inter-cluster Transfer,Livigno,Bormio,460.00,530.00,94.00,108.00,
Inter-cluster Transfer,Cortina,Verona,950.00,1070.00,94.00,108.00,
Inter-cluster Transfer,Cortina Center,Val di Fiemme Predazzo/Tesero,590.00,640.00,94.00,108.00,
Inter-cluster Transfer,Cortina Center,Venezia hotel (incl water taxi),800.00,860.00,94.00,108.00,
Inter-cluster Transfer,Cortina Center,Bormio Center,1600.00,1840.00,94.00,108.00,
Inter-cluster Transfer,Cortina Center,Livigno Center,1340.00,1550.00,94.00,108.00, 
