Service Type,Origin,Destination,Olympic Sedan,Olympic SUV,Olympic Mini Van,Olympic Tesla,Olympic Van,Olympic Luxury Sedan,Notes
Transfer,Milano Malpensa,Milano City Center,220.00,220.00,255.00,255.00,490.00,470.00,2 pax | 4 pax (3 with luggage) | 6 pax (4 with luggage) | 6 pax (4 with luggage) | 8 pax (6 with luggage) | 2 pax max Mercedes S/Maserati
Transfer,Milano Malpensa,Livigno,1100.00,1100.00,1270.00,1270.00,1780.00,1630.00,
Transfer,Milano Malpensa,Bormio,990.00,990.00,1150.00,1150.00,1540.00,1430.00,
Transfer,Milano Malpensa,Verona,710.00,710.00,830.00,830.00,1250.00,1130.00,
Transfer,Milano Linate,Milano City Center,135.00,135.00,150.00,150.00,330.00,285.00,
Transfer,Milano Linate,Livigno,1070.00,1070.00,1230.00,1230.00,1590.00,1470.00,
Transfer,Milano Linate,Bormio,920.00,920.00,1170.00,1170.00,1390.00,1290.00,
Transfer,Milano Linate,Verona,620.00,620.00,730.00,730.00,990.00,920.00,
Transfer,Bergamo BGY,Milano City Center,240.00,240.00,270.00,270.00,520.00,515.00,
Transfer,Bergamo BGY,Livigno,950.00,950.00,1100.00,1100.00,1590.00,1470.00,
Transfer,Bergamo BGY,Bormio,830.00,830.00,960.00,960.00,1390.00,1290.00,
Transfer,Bergamo BGY,Verona,430.00,430.00,500.00,500.00,990.00,920.00,
Transfer,Milano Stazione Centrale,Milano City Center,125.00,125.00,150.00,150.00,320.00,270.00,
Transfer,Milano Stazione Centrale,Livigno,1070.00,1070.00,1230.00,1230.00,1590.00,1470.00,
Transfer,Milano Stazione Centrale,Bormio,920.00,920.00,1170.00,1170.00,1390.00,1290.00,
Transfer,Milano Stazione Centrale,Verona,620.00,620.00,730.00,730.00,990.00,920.00,
Extra Hours,,,94.00,94.00,108.00,108.00,135.00,135.00,Sedan & SUV | Mini Van & Tesla | Van & First Class 
