Tipo_Servizio,Evento,Partenza,Destinazione,Veicolo,Periodo,Prezzo_Base_No_IVA,Prezzo_Base_Con_IVA,Supplemento_Notte_No_IVA,Supplemento_Notte_Con_IVA,Tariffa_IVA_Percent,Supplemento_Notte_Percent,Ore_Extra_Rate,Note,Scenario_Dettagli
Transfer,GP_Monza_2025,milano,linate,berlina,Giorno,110.00,121.00,0.00,0.00,10,0,0.00,"","Milano → Linate - berlina - giorno"
Transfer,GP_Monza_2025,milano,linate,berlina,Notte,110.00,121.00,132.00,145.20,10,20,0.00,"","Milano → Linate - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,linate,monovolume,Giorno,120.00,132.00,0.00,0.00,10,0,0.00,"","Milano → Linate - monovolume - giorno"
Transfer,GP_Monza_2025,milano,linate,monovolume,Notte,120.00,132.00,144.00,158.40,10,20,0.00,"","Milano → Linate - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,linate,minibus,Giorno,160.00,176.00,0.00,0.00,10,0,0.00,"","Milano → Linate - minibus - giorno"
Transfer,GP_Monza_2025,milano,linate,minibus,Notte,160.00,176.00,192.00,211.20,10,20,0.00,"","Milano → Linate - minibus - notte (19:30-07:30)"
Transfer,GP_Monza_2025,linate,milano,berlina,Giorno,120.00,132.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Linate → Milano - berlina - giorno"
Transfer,GP_Monza_2025,linate,milano,berlina,Notte,120.00,132.00,144.00,158.40,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Linate → Milano - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,linate,milano,monovolume,Giorno,130.00,143.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Linate → Milano - monovolume - giorno"
Transfer,GP_Monza_2025,linate,milano,monovolume,Notte,130.00,143.00,156.00,171.60,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Linate → Milano - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,linate,milano,minibus,Giorno,180.00,198.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Linate → Milano - minibus - giorno"
Transfer,GP_Monza_2025,linate,milano,minibus,Notte,180.00,198.00,216.00,237.60,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Linate → Milano - minibus - notte (19:30-07:30)"
